,A,B,overlap
530,Ntome_NODE_9401_length_2281_cov_32,Ntome_NODE_2211_length_4055_cov_52,Ntome_NODE_13608_length_1776_cov_53
531,Ntome_NODE_9417_length_2278_cov_252,Ntome_NODE_501_length_6015_cov_213,Ntome_NODE_13620_length_1774_cov_274
532,Ntome_NODE_9429_length_2278_cov_71,Ntome_NODE_9687_length_2241_cov_205,Ntome_NODE_13629_length_1774_cov_29
533,Ntome_NODE_9435_length_2276_cov_288,Ntome_NODE_393_length_6341_cov_163,Ntome_NODE_13641_length_1773_cov_90
534,Ntome_NODE_9446_length_2276_cov_62,Ntome_NODE_8269_length_2446_cov_222,Ntome_NODE_13663_length_1771_cov_119
535,Ntome_NODE_9447_length_2275_cov_244,Ntome_NODE_5961_length_2858_cov_71,Ntome_NODE_13672_length_1770_cov_103
536,Ntome_NODE_9464_length_2273_cov_234,Ntome_NODE_11243_length_2044_cov_229,Ntome_NODE_13697_length_1768_cov_61
537,Ntome_NODE_9465_length_2273_cov_211,Ntome_NODE_12166_length_1938_cov_17,Ntome_NODE_13700_length_1768_cov_31
538,Ntome_NODE_9483_length_2272_cov_14,Ntome_NODE_9476_length_2272_cov_173,Ntome_NODE_13714_length_1766_cov_219
539,Ntome_NODE_9501_length_2269_cov_298,Ntome_NODE_4495_length_3210_cov_259,Ntome_NODE_13743_length_1763_cov_124
540,Ntome_NODE_9511_length_2268_cov_142,Ntome_NODE_9152_length_2317_cov_294,Ntome_NODE_13759_length_1761_cov_257
541,Ntome_NODE_9516_length_2268_cov_14,Ntome_NODE_6572_length_2734_cov_281,Ntome_NODE_13772_length_1760_cov_168
542,Ntome_NODE_9534_length_2265_cov_288,Ntome_NODE_9269_length_2300_cov_234,Ntome_NODE_13779_length_1759_cov_281
543,Ntome_NODE_9550_length_2262_cov_103,Ntome_NODE_5794_length_2896_cov_261,Ntome_NODE_13799_length_1758_cov_9
544,Ntome_NODE_9567_length_2258_cov_162,Ntome_NODE_5822_length_2890_cov_164,Ntome_NODE_13845_length_1752_cov_77
545,Ntome_NODE_9579_length_2257_cov_91,Ntome_NODE_19090_length_1268_cov_9,Ntome_NODE_13852_length_1751_cov_51
546,Ntome_NODE_9611_length_2252_cov_86,Ntome_NODE_29979_length_629_cov_5,Ntome_NODE_13862_length_1750_cov_23
547,Ntome_NODE_9612_length_2252_cov_77,Ntome_NODE_745_length_5472_cov_203,Ntome_NODE_13897_length_1746_cov_271
548,Ntome_NODE_9622_length_2250_cov_183,Ntome_NODE_2239_length_4041_cov_152,Ntome_NODE_13906_length_1746_cov_260
549,Ntome_NODE_9623_length_2250_cov_73,Ntome_NODE_10258_length_2161_cov_294,Ntome_NODE_13918_length_1745_cov_18
550,Ntome_NODE_9625_length_2250_cov_35,Ntome_NODE_10583_length_2122_cov_162,Ntome_NODE_13919_length_1744_cov_281
551,Ntome_NODE_9645_length_2246_cov_195,Ntome_NODE_735_length_5489_cov_162,Ntome_NODE_13931_length_1744_cov_24
552,Ntome_NODE_9655_length_2245_cov_248,Ntome_NODE_3879_length_3394_cov_32,Ntome_NODE_13955_length_1741_cov_198
553,Ntome_NODE_9672_length_2243_cov_109,Ntome_NODE_14084_length_1729_cov_59,Ntome_NODE_13963_length_1741_cov_25
554,Ntome_NODE_9698_length_2240_cov_32,Ntome_NODE_10765_length_2099_cov_232,Ntome_NODE_14000_length_1738_cov_28
555,Ntome_NODE_9731_length_2236_cov_65,Ntome_NODE_367_length_6440_cov_146,Ntome_NODE_14001_length_1738_cov_17
556,Ntome_NODE_9732_length_2236_cov_10,Ntome_NODE_3663_length_3466_cov_101,Ntome_NODE_14008_length_1737_cov_36
557,Ntome_NODE_9743_length_2233_cov_278,Ntome_NODE_8158_length_2466_cov_294,Ntome_NODE_14010_length_1737_cov_12
558,Ntome_NODE_9748_length_2233_cov_60,Ntome_NODE_11233_length_2046_cov_10,Ntome_NODE_14042_length_1734_cov_9
559,Ntome_NODE_9750_length_2232_cov_49,Ntome_NODE_2497_length_3909_cov_109,Ntome_NODE_14069_length_1731_cov_27
560,Ntome_NODE_9757_length_2230_cov_187,Ntome_NODE_2181_length_4070_cov_163,Ntome_NODE_14082_length_1729_cov_73
561,Ntome_NODE_9777_length_2228_cov_256,Ntome_NODE_9613_length_2252_cov_38,Ntome_NODE_14097_length_1731_cov_5
562,Ntome_NODE_9780_length_2228_cov_153,Ntome_NODE_1256_length_4775_cov_213,Ntome_NODE_14100_length_1727_cov_242
563,Ntome_NODE_9795_length_2226_cov_81,Ntome_NODE_5110_length_3052_cov_100,Ntome_NODE_14107_length_1726_cov_196
564,Ntome_NODE_9801_length_2225_cov_177,Ntome_NODE_10658_length_2111_cov_295,Ntome_NODE_14145_length_1722_cov_197
565,Ntome_NODE_9815_length_2223_cov_62,Ntome_NODE_18217_length_1341_cov_192,Ntome_NODE_14152_length_1721_cov_176
566,Ntome_NODE_9817_length_2222_cov_291,Ntome_NODE_13648_length_1772_cov_275,Ntome_NODE_14168_length_1720_cov_11
567,Ntome_NODE_9829_length_2222_cov_29,Ntome_NODE_7845_length_2517_cov_151,Ntome_NODE_14185_length_1716_cov_284
568,Ntome_NODE_9833_length_2221_cov_181,Ntome_NODE_3003_length_3698_cov_163,Ntome_NODE_14194_length_1716_cov_14
569,Ntome_NODE_9841_length_2220_cov_89,Ntome_NODE_10095_length_2187_cov_173,Ntome_NODE_14213_length_1714_cov_143
570,Ntome_NODE_9860_length_2217_cov_237,Ntome_NODE_238_length_7150_cov_209,Ntome_NODE_14234_length_1711_cov_276
571,Ntome_NODE_9861_length_2217_cov_189,Ntome_NODE_16723_length_1474_cov_125,Ntome_NODE_14248_length_1710_cov_235
572,Ntome_NODE_9888_length_2215_cov_15,Ntome_NODE_9037_length_2332_cov_225,Ntome_NODE_14261_length_1709_cov_223
573,Ntome_NODE_9891_length_2214_cov_128,Ntome_NODE_6586_length_2732_cov_277,Ntome_NODE_14278_length_1708_cov_25
574,Ntome_NODE_9910_length_2211_cov_306,Ntome_NODE_1227_length_4802_cov_140,Ntome_NODE_14285_length_1707_cov_15
575,Ntome_NODE_9933_length_2208_cov_290,Ntome_NODE_5035_length_3068_cov_166,Ntome_NODE_14320_length_1703_cov_115
576,Ntome_NODE_9948_length_2206_cov_147,Ntome_NODE_5703_length_2917_cov_129,Ntome_NODE_14351_length_1700_cov_90
577,Ntome_NODE_9954_length_2205_cov_110,Ntome_NODE_10249_length_2163_cov_187,Ntome_NODE_14371_length_1698_cov_212
578,Ntome_NODE_9956_length_2205_cov_17,Ntome_NODE_6764_length_2700_cov_185,Ntome_NODE_14374_length_1698_cov_100
579,Ntome_NODE_9985_length_2201_cov_23,Ntome_NODE_9526_length_2266_cov_267,Ntome_NODE_14382_length_1697_cov_158
580,Ntome_NODE_9986_length_2200_cov_282,Ntome_NODE_3849_length_3405_cov_103,Ntome_NODE_14383_length_1697_cov_133
581,Ntome_NODE_9988_length_2200_cov_271,Ntome_NODE_8710_length_2383_cov_15,Ntome_NODE_14423_length_1693_cov_170
582,Ntome_NODE_9990_length_2200_cov_221,Ntome_NODE_8029_length_2486_cov_207,Ntome_NODE_14431_length_1692_cov_258
583,Ntome_NODE_9991_length_2200_cov_130,Ntome_NODE_12009_length_1957_cov_58,Ntome_NODE_14445_length_1691_cov_213
584,Ntome_NODE_9999_length_2199_cov_173,Ntome_NODE_5215_length_3026_cov_95,Ntome_NODE_14449_length_1691_cov_13
585,Ntome_NODE_10002_length_2199_cov_71,Ntome_NODE_1614_length_4444_cov_209,Ntome_NODE_14458_length_1690_cov_41
586,Ntome_NODE_10024_length_2196_cov_256,Ntome_NODE_587_length_5799_cov_120,Ntome_NODE_14466_length_1689_cov_205
587,Ntome_NODE_10029_length_2196_cov_77,Ntome_NODE_105_length_8440_cov_257,Ntome_NODE_14475_length_1688_cov_25
588,Ntome_NODE_10032_length_2195_cov_268,Ntome_NODE_9561_length_2259_cov_96,Ntome_NODE_14483_length_1687_cov_178
589,Ntome_NODE_10040_length_2194_cov_213,Ntome_NODE_27794_length_720_cov_209,Ntome_NODE_14488_length_1687_cov_36
590,Ntome_NODE_10059_length_2191_cov_300,Ntome_NODE_11273_length_2041_cov_266,Ntome_NODE_14506_length_1685_cov_92
591,Ntome_NODE_10066_length_2191_cov_108,Ntome_NODE_2455_length_3928_cov_106,Ntome_NODE_14535_length_1682_cov_58
592,Ntome_NODE_10078_length_2189_cov_300,Ntome_NODE_9707_length_2239_cov_75,Ntome_NODE_14546_length_1680_cov_238
593,Ntome_NODE_10084_length_2188_cov_300,Ntome_NODE_15368_length_1596_cov_286,Ntome_NODE_14557_length_1679_cov_236
594,Ntome_NODE_10093_length_2187_cov_241,Ntome_NODE_9792_length_2226_cov_246,Ntome_NODE_14561_length_1679_cov_132
595,Ntome_NODE_10114_length_2183_cov_251,Ntome_NODE_19187_length_1260_cov_280,Ntome_NODE_14562_length_1679_cov_131
596,Ntome_NODE_10117_length_2183_cov_139,Ntome_NODE_8927_length_2349_cov_268,Ntome_NODE_14573_length_1678_cov_129
597,Ntome_NODE_10123_length_2182_cov_262,Ntome_NODE_9334_length_2291_cov_159,Ntome_NODE_14577_length_1678_cov_32
598,Ntome_NODE_10128_length_2181_cov_301,Ntome_NODE_12626_length_1884_cov_92,Ntome_NODE_14586_length_1677_cov_114
599,Ntome_NODE_10132_length_2181_cov_79,Ntome_NODE_14465_length_1689_cov_234,Ntome_NODE_14588_length_1677_cov_47
600,Ntome_NODE_10135_length_2180_cov_285,Ntome_NODE_3083_length_3664_cov_81,Ntome_NODE_14592_length_1676_cov_260
601,Ntome_NODE_10145_length_2179_cov_24,Ntome_NODE_10551_length_2126_cov_39,Ntome_NODE_14605_length_1676_cov_50
602,Ntome_NODE_10153_length_2177_cov_159,Ntome_NODE_13478_length_1788_cov_292,Ntome_NODE_14626_length_1674_cov_79
603,Ntome_NODE_10154_length_2177_cov_113,Ntome_NODE_17061_length_1442_cov_234,Ntome_NODE_14642_length_1673_cov_93
604,Ntome_NODE_10157_length_2176_cov_262,Ntome_NODE_3331_length_3576_cov_187,Ntome_NODE_14652_length_1672_cov_197
605,Ntome_NODE_10167_length_2175_cov_209,Ntome_NODE_24280_length_907_cov_267,Ntome_NODE_14691_length_1667_cov_67
606,Ntome_NODE_10177_length_2174_cov_25,Ntome_NODE_4641_length_3174_cov_83,Ntome_NODE_14694_length_1667_cov_37
607,Ntome_NODE_10181_length_2174_cov_193,Ntome_NODE_3491_length_3520_cov_228,Ntome_NODE_14703_length_1665_cov_249
608,Ntome_NODE_10204_length_2170_cov_256,Ntome_NODE_10277_length_2158_cov_289,Ntome_NODE_14708_length_1665_cov_28
609,Ntome_NODE_10211_length_2169_cov_116,Ntome_NODE_13545_length_1782_cov_12,Ntome_NODE_14709_length_1665_cov_21
610,Ntome_NODE_10212_length_2169_cov_101,Ntome_NODE_7029_length_2650_cov_222,Ntome_NODE_14714_length_1664_cov_257
611,Ntome_NODE_10215_length_2168_cov_250,Ntome_NODE_8395_length_2428_cov_92,Ntome_NODE_14720_length_1663_cov_275
612,Ntome_NODE_10228_length_2166_cov_99,Ntome_NODE_12155_length_1939_cov_147,Ntome_NODE_14725_length_1663_cov_9
613,Ntome_NODE_10236_length_2165_cov_162,Ntome_NODE_9690_length_2241_cov_72,Ntome_NODE_14729_length_1662_cov_136
614,Ntome_NODE_10237_length_2165_cov_145,Ntome_NODE_20427_length_1159_cov_174,Ntome_NODE_14746_length_1661_cov_53
615,Ntome_NODE_10239_length_2165_cov_102,Ntome_NODE_8777_length_2373_cov_218,Ntome_NODE_14751_length_1660_cov_225
616,Ntome_NODE_10244_length_2164_cov_150,Ntome_NODE_5358_length_2996_cov_133,Ntome_NODE_14765_length_1659_cov_181
617,Ntome_NODE_10288_length_2158_cov_9,Ntome_NODE_12523_length_1895_cov_153,Ntome_NODE_14770_length_1659_cov_60
618,Ntome_NODE_10297_length_2157_cov_89,Ntome_NODE_5854_length_2882_cov_294,Ntome_NODE_14778_length_1658_cov_25
619,Ntome_NODE_10303_length_2156_cov_277,Ntome_NODE_5121_length_3050_cov_281,Ntome_NODE_14811_length_1655_cov_34
620,Ntome_NODE_10323_length_2154_cov_289,Ntome_NODE_21988_length_1050_cov_179,Ntome_NODE_14819_length_1654_cov_67
621,Ntome_NODE_10342_length_2152_cov_260,Ntome_NODE_10964_length_2078_cov_91,Ntome_NODE_14821_length_1654_cov_20
622,Ntome_NODE_10345_length_2152_cov_211,Ntome_NODE_528_length_5940_cov_234,Ntome_NODE_14843_length_1650_cov_241
623,Ntome_NODE_10371_length_2149_cov_96,Ntome_NODE_11914_length_1967_cov_235,Ntome_NODE_14846_length_1651_cov_78
624,Ntome_NODE_10374_length_2149_cov_56,Ntome_NODE_324_length_6617_cov_226,Ntome_NODE_14866_length_1647_cov_277
625,Ntome_NODE_10392_length_2146_cov_263,Ntome_NODE_986_length_5110_cov_73,Ntome_NODE_14877_length_1646_cov_276
626,Ntome_NODE_10404_length_2144_cov_297,Ntome_NODE_11159_length_2053_cov_292,Ntome_NODE_14880_length_1646_cov_39
627,Ntome_NODE_10416_length_2143_cov_317,Ntome_NODE_11550_length_2008_cov_199,Ntome_NODE_14889_length_1645_cov_92
628,Ntome_NODE_10424_length_2143_cov_29,Ntome_NODE_5936_length_2865_cov_57,Ntome_NODE_14890_length_1645_cov_70
629,Ntome_NODE_10439_length_2140_cov_245,Ntome_NODE_6050_length_2839_cov_130,Ntome_NODE_14891_length_1645_cov_27
630,Ntome_NODE_10468_length_2136_cov_162,Ntome_NODE_4957_length_3095_cov_244,Ntome_NODE_14897_length_1644_cov_245
631,Ntome_NODE_10472_length_2135_cov_206,Ntome_NODE_6142_length_2824_cov_41,Ntome_NODE_14904_length_1644_cov_102
632,Ntome_NODE_10476_length_2135_cov_14,Ntome_NODE_3903_length_3385_cov_199,Ntome_NODE_14912_length_1643_cov_259
633,Ntome_NODE_10478_length_2134_cov_296,Ntome_NODE_26885_length_764_cov_31,Ntome_NODE_14925_length_1643_cov_41
634,Ntome_NODE_10487_length_2133_cov_220,Ntome_NODE_16327_length_1510_cov_201,Ntome_NODE_14927_length_1643_cov_21
635,Ntome_NODE_10509_length_2130_cov_310,Ntome_NODE_7285_length_2607_cov_100,Ntome_NODE_14956_length_1640_cov_73
636,Ntome_NODE_10510_length_2130_cov_296,Ntome_NODE_4741_length_3148_cov_272,Ntome_NODE_14982_length_1638_cov_78
637,Ntome_NODE_10524_length_2129_cov_97,Ntome_NODE_20900_length_1124_cov_257,Ntome_NODE_14999_length_1635_cov_278
638,Ntome_NODE_10540_length_2127_cov_114,Ntome_NODE_20742_length_1135_cov_137,Ntome_NODE_15018_length_1633_cov_196
639,Ntome_NODE_10543_length_2126_cov_273,Ntome_NODE_9902_length_2213_cov_39,Ntome_NODE_15046_length_1630_cov_240
640,Ntome_NODE_10544_length_2126_cov_269,Ntome_NODE_1895_length_4239_cov_192,Ntome_NODE_15076_length_1627_cov_269
641,Ntome_NODE_10546_length_2126_cov_224,Ntome_NODE_3822_length_3412_cov_192,Ntome_NODE_15080_length_1627_cov_24
642,Ntome_NODE_10552_length_2126_cov_34,Ntome_NODE_7334_length_2597_cov_275,Ntome_NODE_15100_length_1624_cov_18
643,Ntome_NODE_10577_length_2122_cov_276,Ntome_NODE_12521_length_1895_cov_232,Ntome_NODE_15104_length_1623_cov_176
644,Ntome_NODE_10586_length_2122_cov_97,Ntome_NODE_1740_length_4352_cov_273,Ntome_NODE_15112_length_1623_cov_15
645,Ntome_NODE_10615_length_2117_cov_277,Ntome_NODE_8504_length_2412_cov_92,Ntome_NODE_15135_length_1620_cov_86
646,Ntome_NODE_10616_length_2117_cov_275,Ntome_NODE_11235_length_2045_cov_238,Ntome_NODE_15142_length_1619_cov_203
647,Ntome_NODE_10619_length_2116_cov_297,Ntome_NODE_9095_length_2324_cov_188,Ntome_NODE_15159_length_1617_cov_214
648,Ntome_NODE_10631_length_2115_cov_31,Ntome_NODE_12089_length_1946_cov_247,Ntome_NODE_15168_length_1616_cov_212
649,Ntome_NODE_10634_length_2114_cov_178,Ntome_NODE_7267_length_2610_cov_292,Ntome_NODE_15172_length_1616_cov_118
650,Ntome_NODE_10652_length_2113_cov_9,Ntome_NODE_12861_length_1856_cov_141,Ntome_NODE_15181_length_1615_cov_243
651,Ntome_NODE_10674_length_2110_cov_105,Ntome_NODE_273_length_6942_cov_169,Ntome_NODE_15195_length_1614_cov_244
652,Ntome_NODE_10682_length_2109_cov_47,Ntome_NODE_390_length_6347_cov_174,Ntome_NODE_15198_length_1614_cov_154
653,Ntome_NODE_10696_length_2107_cov_41,Ntome_NODE_11350_length_2031_cov_238,Ntome_NODE_15202_length_1604_cov_302
654,Ntome_NODE_10697_length_2107_cov_34,Ntome_NODE_232_length_7193_cov_285,Ntome_NODE_15210_length_1613_cov_115
655,Ntome_NODE_10698_length_2107_cov_12,Ntome_NODE_4258_length_3276_cov_73,Ntome_NODE_15219_length_1612_cov_97
656,Ntome_NODE_10700_length_2106_cov_282,Ntome_NODE_29079_length_665_cov_8,Ntome_NODE_15222_length_1612_cov_12
657,Ntome_NODE_10720_length_2105_cov_118,Ntome_NODE_3228_length_3610_cov_282,Ntome_NODE_15236_length_1610_cov_203
658,Ntome_NODE_10739_length_2103_cov_70,Ntome_NODE_8374_length_2430_cov_290,Ntome_NODE_15255_length_1609_cov_41
659,Ntome_NODE_10748_length_2101_cov_163,Ntome_NODE_5106_length_3053_cov_210,Ntome_NODE_15269_length_1607_cov_280
660,Ntome_NODE_10759_length_2100_cov_32,Ntome_NODE_15107_length_1623_cov_106,Ntome_NODE_15279_length_1607_cov_53
661,Ntome_NODE_10760_length_2100_cov_11,Ntome_NODE_11568_length_2006_cov_215,Ntome_NODE_15285_length_1606_cov_87
662,Ntome_NODE_10761_length_2099_cov_294,Ntome_NODE_7330_length_2599_cov_54,Ntome_NODE_15294_length_1605_cov_273
663,Ntome_NODE_10782_length_2098_cov_137,Ntome_NODE_834_length_5337_cov_207,Ntome_NODE_15302_length_1604_cov_289
664,Ntome_NODE_10790_length_2097_cov_190,Ntome_NODE_10053_length_2193_cov_207,Ntome_NODE_15318_length_1603_cov_72
665,Ntome_NODE_10798_length_2096_cov_99,Ntome_NODE_6776_length_2698_cov_135,Ntome_NODE_15327_length_1602_cov_15
666,Ntome_NODE_10801_length_2095_cov_281,Ntome_NODE_10948_length_2080_cov_55,Ntome_NODE_15340_length_1600_cov_226
667,Ntome_NODE_10813_length_2094_cov_238,Ntome_NODE_11317_length_2034_cov_288,Ntome_NODE_15345_length_1600_cov_27
668,Ntome_NODE_10827_length_2093_cov_20,Ntome_NODE_19_length_11828_cov_48,Ntome_NODE_15350_length_1599_cov_246
669,Ntome_NODE_10840_length_2091_cov_258,Ntome_NODE_3355_length_3566_cov_189,Ntome_NODE_15353_length_1598_cov_242
670,Ntome_NODE_10863_length_2089_cov_173,Ntome_NODE_7336_length_2597_cov_191,Ntome_NODE_15360_length_1597_cov_170
671,Ntome_NODE_10876_length_2087_cov_247,Ntome_NODE_13182_length_1821_cov_235,Ntome_NODE_15383_length_1595_cov_261
672,Ntome_NODE_10904_length_2084_cov_116,Ntome_NODE_16641_length_1483_cov_9,Ntome_NODE_15389_length_1595_cov_81
673,Ntome_NODE_10915_length_2083_cov_166,Ntome_NODE_8793_length_2371_cov_146,Ntome_NODE_15409_length_1593_cov_111
674,Ntome_NODE_10922_length_2082_cov_290,Ntome_NODE_29712_length_639_cov_260,Ntome_NODE_15435_length_1591_cov_23
675,Ntome_NODE_10924_length_2082_cov_193,Ntome_NODE_10061_length_2190_cov_245,Ntome_NODE_15453_length_1588_cov_217
676,Ntome_NODE_10933_length_2082_cov_40,Ntome_NODE_9754_length_2231_cov_171,Ntome_NODE_15484_length_1585_cov_197
677,Ntome_NODE_10939_length_2081_cov_15,Ntome_NODE_10499_length_2132_cov_259,Ntome_NODE_15492_length_1585_cov_67
678,Ntome_NODE_10940_length_2080_cov_292,Ntome_NODE_484_length_6072_cov_222,Ntome_NODE_15498_length_1584_cov_229
679,Ntome_NODE_10959_length_2078_cov_296,Ntome_NODE_1153_length_4896_cov_305,Ntome_NODE_15516_length_1583_cov_25
680,Ntome_NODE_10988_length_2075_cov_17,Ntome_NODE_8184_length_2461_cov_268,Ntome_NODE_15523_length_1582_cov_114
681,Ntome_NODE_10999_length_2073_cov_142,Ntome_NODE_2313_length_4000_cov_150,Ntome_NODE_15532_length_1581_cov_98
682,Ntome_NODE_11000_length_2073_cov_123,Ntome_NODE_11565_length_2006_cov_282,Ntome_NODE_15537_length_1580_cov_282
683,Ntome_NODE_11002_length_2073_cov_68,Ntome_NODE_13726_length_1765_cov_57,Ntome_NODE_15552_length_1579_cov_249
684,Ntome_NODE_11015_length_2071_cov_54,Ntome_NODE_12945_length_1847_cov_99,Ntome_NODE_15560_length_1579_cov_113
685,Ntome_NODE_11030_length_2068_cov_240,Ntome_NODE_29238_length_659_cov_7,Ntome_NODE_15564_length_1578_cov_287
686,Ntome_NODE_11036_length_2068_cov_49,Ntome_NODE_140_length_7962_cov_220,Ntome_NODE_15571_length_1578_cov_181
687,Ntome_NODE_11045_length_2067_cov_14,Ntome_NODE_12239_length_1928_cov_276,Ntome_NODE_15572_length_1578_cov_120
688,Ntome_NODE_11049_length_2066_cov_271,Ntome_NODE_11840_length_1976_cov_228,Ntome_NODE_15583_length_1577_cov_251
689,Ntome_NODE_11052_length_2066_cov_206,Ntome_NODE_13431_length_1793_cov_17,Ntome_NODE_15586_length_1577_cov_245
690,Ntome_NODE_11062_length_2066_cov_19,Ntome_NODE_12609_length_1886_cov_27,Ntome_NODE_15607_length_1575_cov_57
691,Ntome_NODE_11077_length_2064_cov_226,Ntome_NODE_1460_length_4568_cov_46,Ntome_NODE_15619_length_1574_cov_139
692,Ntome_NODE_11080_length_2064_cov_144,Ntome_NODE_2873_length_3739_cov_183,Ntome_NODE_15623_length_1574_cov_39
693,Ntome_NODE_11082_length_2064_cov_80,Ntome_NODE_10950_length_2080_cov_47,Ntome_NODE_15629_length_1573_cov_268
694,Ntome_NODE_11104_length_2060_cov_35,Ntome_NODE_4114_length_3316_cov_231,Ntome_NODE_15631_length_1573_cov_204
695,Ntome_NODE_11114_length_2058_cov_136,Ntome_NODE_1242_length_4789_cov_105,Ntome_NODE_15644_length_1572_cov_228
696,Ntome_NODE_11115_length_2058_cov_120,Ntome_NODE_12494_length_1897_cov_245,Ntome_NODE_15656_length_1571_cov_237
697,Ntome_NODE_11130_length_2056_cov_270,Ntome_NODE_16159_length_1525_cov_90,Ntome_NODE_15664_length_1571_cov_25
698,Ntome_NODE_11132_length_2056_cov_230,Ntome_NODE_14639_length_1673_cov_196,Ntome_NODE_15676_length_1573_cov_263
699,Ntome_NODE_11143_length_2056_cov_16,Ntome_NODE_696_length_5567_cov_202,Ntome_NODE_15678_length_1570_cov_232
700,Ntome_NODE_11145_length_2055_cov_283,Ntome_NODE_2277_length_4017_cov_272,Ntome_NODE_15694_length_1568_cov_249
701,Ntome_NODE_11153_length_2054_cov_288,Ntome_NODE_3405_length_3545_cov_197,Ntome_NODE_15695_length_1568_cov_233
702,Ntome_NODE_11171_length_2052_cov_280,Ntome_NODE_12189_length_1935_cov_73,Ntome_NODE_15725_length_1566_cov_7
703,Ntome_NODE_11187_length_2050_cov_280,Ntome_NODE_13193_length_1820_cov_272,Ntome_NODE_15735_length_1565_cov_90
704,Ntome_NODE_11188_length_2050_cov_271,Ntome_NODE_2822_length_3765_cov_81,Ntome_NODE_15741_length_1564_cov_18
705,Ntome_NODE_11219_length_2047_cov_207,Ntome_NODE_6108_length_2829_cov_206,Ntome_NODE_15759_length_1562_cov_255
706,Ntome_NODE_11241_length_2044_cov_302,Ntome_NODE_11554_length_2008_cov_118,Ntome_NODE_15795_length_1558_cov_277
707,Ntome_NODE_11278_length_2040_cov_265,Ntome_NODE_11379_length_2027_cov_301,Ntome_NODE_15798_length_1558_cov_226
708,Ntome_NODE_11279_length_2040_cov_203,Ntome_NODE_13446_length_1791_cov_245,Ntome_NODE_15819_length_1556_cov_160
709,Ntome_NODE_11291_length_2039_cov_38,Ntome_NODE_10647_length_2113_cov_194,Ntome_NODE_15841_length_1554_cov_190
710,Ntome_NODE_11292_length_2038_cov_280,Ntome_NODE_12774_length_1865_cov_180,Ntome_NODE_15881_length_1550_cov_45
711,Ntome_NODE_11295_length_2038_cov_125,Ntome_NODE_11729_length_1988_cov_283,Ntome_NODE_15893_length_1548_cov_231
712,Ntome_NODE_11304_length_2036_cov_285,Ntome_NODE_11021_length_2070_cov_75,Ntome_NODE_15913_length_1546_cov_266
713,Ntome_NODE_11311_length_2036_cov_109,Ntome_NODE_1001_length_5089_cov_187,Ntome_NODE_15944_length_1543_cov_136
714,Ntome_NODE_11322_length_2034_cov_141,Ntome_NODE_13255_length_1813_cov_189,Ntome_NODE_15947_length_1543_cov_109
715,Ntome_NODE_11334_length_2033_cov_172,Ntome_NODE_18361_length_1329_cov_112,Ntome_NODE_15950_length_1543_cov_33
716,Ntome_NODE_11337_length_2033_cov_88,Ntome_NODE_12635_length_1883_cov_37,Ntome_NODE_15958_length_1542_cov_221
717,Ntome_NODE_11345_length_2032_cov_109,Ntome_NODE_10784_length_2098_cov_85,Ntome_NODE_15988_length_1540_cov_13
718,Ntome_NODE_11357_length_2030_cov_78,Ntome_NODE_12724_length_1870_cov_22,Ntome_NODE_16006_length_1538_cov_250
719,Ntome_NODE_11384_length_2027_cov_175,Ntome_NODE_12133_length_1942_cov_53,Ntome_NODE_16039_length_1536_cov_64
720,Ntome_NODE_11414_length_2023_cov_293,Ntome_NODE_16757_length_1470_cov_257,Ntome_NODE_16055_length_1535_cov_18
721,Ntome_NODE_11420_length_2023_cov_167,Ntome_NODE_12057_length_1950_cov_247,Ntome_NODE_16058_length_1534_cov_269
722,Ntome_NODE_11421_length_2023_cov_152,Ntome_NODE_11553_length_2008_cov_140,Ntome_NODE_16062_length_1534_cov_192
723,Ntome_NODE_11434_length_2021_cov_286,Ntome_NODE_3437_length_3533_cov_289,Ntome_NODE_16076_length_1532_cov_40
724,Ntome_NODE_11436_length_2021_cov_224,Ntome_NODE_7846_length_2517_cov_141,Ntome_NODE_16077_length_1533_cov_25
725,Ntome_NODE_11443_length_2020_cov_125,Ntome_NODE_26570_length_778_cov_272,Ntome_NODE_16093_length_1532_cov_5
726,Ntome_NODE_11445_length_2020_cov_72,Ntome_NODE_21501_length_1081_cov_186,Ntome_NODE_16097_length_1531_cov_265
727,Ntome_NODE_11467_length_2017_cov_287,Ntome_NODE_24281_length_907_cov_260,Ntome_NODE_16098_length_1531_cov_258
728,Ntome_NODE_11506_length_2014_cov_27,Ntome_NODE_12459_length_1902_cov_103,Ntome_NODE_16137_length_1527_cov_261
729,Ntome_NODE_11520_length_2012_cov_10,Ntome_NODE_26604_length_777_cov_27,Ntome_NODE_16150_length_1526_cov_193
730,Ntome_NODE_11533_length_2010_cov_260,Ntome_NODE_17423_length_1410_cov_16,Ntome_NODE_16193_length_1521_cov_265
731,Ntome_NODE_11535_length_2010_cov_202,Ntome_NODE_12023_length_1954_cov_297,Ntome_NODE_16194_length_1521_cov_238
732,Ntome_NODE_11537_length_2009_cov_311,Ntome_NODE_11894_length_1970_cov_265,Ntome_NODE_16202_length_1521_cov_39
733,Ntome_NODE_11544_length_2009_cov_103,Ntome_NODE_40_length_10198_cov_97,Ntome_NODE_16228_length_1518_cov_243
734,Ntome_NODE_11570_length_2006_cov_148,Ntome_NODE_13083_length_1832_cov_46,Ntome_NODE_16257_length_1516_cov_98
735,Ntome_NODE_11574_length_2005_cov_290,Ntome_NODE_16089_length_1529_cov_63,Ntome_NODE_16262_length_1515_cov_224
